"provider_name","website","email","street_address","city","Zipcode","phone","description","state","from_age","to_age","has_class","has_camp","has_birthday_party","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Starting price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf, phone, email)","Facebook page url","Over 500 likes on FB (y/n)","logo_url","photo_url",
"Nancy Stamm's Galleria","http://www.nancystamm.com/","ns1556@aol.com","2 North Hanover Street","Carlisle",17013,"717-240-0551","Nancy Stamm has been giving fine art instruction to children for over eight years. Children five years old thru adults learn how to take the frustration out of creativity when drawing and painting. They develop better hand skills and coordination while practicing their art lessons. A sense of accomplishment and positive thinking as well as problem solving are achieved through art. In the classroom each student focuses on their own individual skills. Here they receive instruction designed specifically for their individual needs and skill levels","PA",5,,"Yes","Yes","No","Drawing and Painting","Sculpture","Crafts","Pottery",,,,,,,"per month","webform, phone","https://www.facebook.com/pages/Nancy-Stamms-Art-Galleria/159799704052498","no","http://www.nancystamm.com/images/indexpic.jpg","http://www.nancystamm.com/images/flowers2.jpg",
"Haye's Sewing Machine Company","http://www.trevhayes.com/","trevhayes@aol.com","4425 Concord Pike","Wilmington",19803,"302.764.9033","Hayes Sewing Machine Company of Delaware is a locally owned and operated fabric and sewing machine store that happens to offer some sewing/stuffed animal making classes.","DE",13,,"Yes","No","No","Sewing",,,,,,,,,45,"per class","phone","https://www.facebook.com/HayesSewingMachineCo","yes","https://scontent-a-ord.xx.fbcdn.net/hphotos-xaf1/t31.0-8/s720x720/272154_154035694668386_7007180_o.jpg","https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/1510490_727216460683637_8078763869429867584_n.jpg?oh=60b198ed6e1f670ce9bfb21332ac34de&oe=54DB691F&__gda__=1423391055_8369a0b53c24408c083f007ee99e2833",
"Jen's Pottery Den","http://www.jenspotteryden.com/","jen@jenspottery.comcastbiz.net","711 Olde Hickory Rd.","Lancaster",17601,"(717) 581-1427","Jen’s Pottery Den is a Paint-Your-Own pottery and craft studio located in the heart of Manheim Township.","PA",4,,"Yes","yes","Yes","Ceramics","Pottery","Drawing and Painting","Crafts",,,,,,15,"per class","phone","https://www.facebook.com/pages/Jens-Pottery-Den/11713249165698","Y","http://www.jenspotteryden.com/files/2013/12/JensPotteryDen-logo1.png","http://www.jenspotteryden.com/files/2013/12/claypottery.jpg",
"Cherry Court Studios","http://www.cherrycourtstudios.com/","contact@cherrycourtstudios.com","8000 McKnight Rd","Pittsburgh",15237,"(412) 334-2567","Middle School Program
Cherry Court Studios is for children in grades 5 through 9 who love to draw. Classes are small. Lessons suit the unique developmental needs of middle school. This foundation enrichment program will enhance learning that follows in high school and college. Each student is mentored according to his/her unique personality, learning style, and combination of talents. Perhaps one day innovative professionals in many fields will recall Cherry Court Studios as their place for monumental beginnings.

Upper School Program
Upper School at Cherry Court is for students in grades 10 through 12 who wish to progress as far as is possible in these areas: developing a high quality portfolio, discovering the beginnings of a personal style, pinpointing artistic strengths, and preparing for competitions.

Each student at Cherry Court is unique, with a personal range of talents, experiences, interests, and ambitions. This program's goal is to mentor each student based on those qualities, providing an environment of support and encouragement. Emphasis will be placed on setting goals and working to achieve them. Guidance concerning higher education and how to excel at that level will be integrated into instruction.

Cherry Court Studios only accepts students to the Upper School who have been part of the middle school foundation program. It is important for students and parents to recognize that to excel in any discipline, students must begin studies early and practice often, electing both school district classes and participating early in extracurricular programs.","PA",10,,"Yes",,,"Creative Arts","Digital Media","Drawing and Painting",,,,,,,310,"per season","online","https://www.facebook.com/pages/Cherry-Court-Studios/294333204039453","no","http://www.cherrycourtstudios.com/images/logo.png","http://www.cherrycourtstudios.com/images/grid3/classroom09.jpg",
"The Allegra School of Music & Arts","http://www.allegrasma.com/","donnetta@allegrasma.com","856 US Highway 206","Hillsborough","08844","(908) 829-0036","Since 1999 the Allegra School of Music and Arts has successfully educated thousands of students of all ages in piano, woodwind, brass, percussion, guitar, strings, voice, drama, and musical theater.","NJ",,,"Yes","Yes","No","Music",,,,,,,,"theatre",128,"per month","web form","https://www.facebook.com/AllegraSMA","no","http://www.allegrasma.com/uploads/1/4/1/4/14147983/1413046508.png","https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/10689888_10153319166118298_3598367476236702080_n.jpg?oh=e0f6e3909199d09d1a242e3b4e247066&oe=54E5BC2A&__gda__=1423457182_fc9e14378f41967f0f49fd5681a9d1e2",
"Pittsburgh Center for the Arts","http://pca.pittsburgharts.org/","rcooper@pittsburgharts.org","1047 Shady Avenue","Pittsburgh",15232,"412.361.0873","Founded in 1945, Pittsburgh Center for the Arts is a non-profit community arts campus. The Center is where the community can create, see, support and learn about visual arts.","PA",4,18,"Yes","Yes",,"Creative Arts","Pottery","Drawing and Painting","Crafts","Digital Media","Photography and Video","Lego",,"film making",125,"per session","online","https://www.facebook.com/PghCenterForTheArts","yes","https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xfp1/v/t1.0-9/1891108_10152672476292034_992998539209700735_n.jpg?oh=9d6b05f2678cdada051b762bfead3f5e&oe=54F21A76&__gda__=1425480447_30cacc38bd972b5ebbfea40162fdffbb","https://scontent-a-ord.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/1601195_10152645929022034_1588603057070285063_n.jpg?oh=49005c1314d60407132bd00b3c008f19&oe=54E50DD9",
"The Philadelphia Guild of Handweavers","http://www.pghw.org/","pghwinfo@gmail.com","3705 Main Street","Philadelphia",19127,"215-487-9690","The Philadelphia Guild of Handweavers is a non-profit organization whose mission is to foster the art and craft of weaving and the fiber arts.

We were organized in 1952 through the efforts of Joseph Acton, Bret Carberry, Ruth Dewees, Marion Lord, Helen Schobinger and Kathryn Wellman.

In 1992, Russ Fawley, owner of Wilde Yarns, deeded the property at 3705 Main Street, Philadelphia, PA to the Guild. This building is located in the Manayunk area of Philadelphia (across from the United Artist Theater) and is now the permanent headquarters for the Guild. It offers ample space for meetings, workshops and classes.

Membership in the Guild offers not only the chance to increase learning but to be part of a community of other fiber artists. The Guild motto is “We Learn by Doing and Grow by Sharing”.","PA",8,,"yes","no","no",,,,,,,,,"hand weaving",145,"per session","web form","https://www.facebook.com/PGHWs","no","http://www.pghw.org/wp-content/uploads/2014/02/PGHW_LOGO-high-web.jpg","https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/p417x417/10568898_10152288284403148_2635872393604225402_n.jpg?oh=ebe84c1d0cada8aae1e987807496c799&oe=54E6C594&__gda__=1424173615_a3fdde6d337e4de741af1d899fa35045",
"The Expressive Hand","http://www.expressivehand.com/","info@expressivehand.com","622 South 9th Street","Philadelphia",19247,"(267) 519-2626","A paint your own pottery and sign language studio","PA",,,"yes","yes","yes","Pottery",,,,,,,,"sign language",,,"phone","https://www.facebook.com/TheExpressiveHand?ref=search&sid=100000410082773.3680206818..1","yes","http://www.expressivehand.com/assests/logo.gif","https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-9/10576972_10152800951683459_4720993813675833531_n.jpg?oh=dba45e4d448c87e273ac5dade267cbff&oe=54DD784F&__gda__=1424348464_0126920800091c47daf2b1328ceae8f4",
"Cheltenham Art Center","http://www.cheltenhamarts.org/","info@cheltenhamarts.org","439 Ashbourne Road","Cheltenham",19012,"215.379.4660","Since its founding, the Cheltenham Center for the Arts (CCA) has served as a venue for high quality classes, exhibitions and theater programs that have promoted regional artists and showcased the work of children, adults and outstanding faculty in our community.

At CCA we believe that the arts can offer to all ages a means to broaden your horizons, learn new skills and explore new ways of seeing the world. It is our goal to provide a creative environment to nurture that process","PA",5,,"yes","yes",,"Drawing and Painting","Ceramics",,,,,,,"theatre",120,"per session","phone","https://www.facebook.com/pages/Cheltenham-Art-Center/133263982695","yes","https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/10665967_10152670722847696_601615805814598957_n.jpg?oh=6e6d3fa6693c2465ba7dfc77adc45a83&oe=54EA8902&__gda__=1424799080_131bf238721b633ba826843de1a88285","https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/1897828_10152637770952696_6073175720416005195_n.jpg?oh=66a431502e005f21735befcbba5df9df&oe=54DDCE55&__gda__=1425361215_74ac2027d624736aa6eddc8fdc248837",
"The Uncorked Artist","http://www.theuncorkedartist.com/","Tara@TheUncorkedArtist.com","1414 Old York Road","Warminster, PA",18974,"(267) 714-8545","Weekend All-Ages Paint Parties available for children and their families.","PA",,,"no","no","yes","Drawing and Painting",,,,,,,,,,,,"https://www.facebook.com/TheUncorkedArtist","yes","http://www.theuncorkedartist.com/wp-content/uploads/2013/10/cropped-UAWebHeader2Studios2.png","https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-9/p417x417/10431575_977736685575227_164106304965164042_n.jpg?oh=dc6c703613160aa276a2165b2da136ea&oe=54DDAAF8&__gda__=1424918911_4b0a041ce4c9ee5ef970baf0ec0d192a",
